Alert ID,Ticker,Name,Description,Time,Webhook status
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T09:38:00Z,Webhook successfully delivered
4465343356,"BSE:BSX260416C78200, 1m","XM-TradeEdgePro-indicator (Bottom right, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call","{""chat_id"":""-1002140106262"",""text"":""BSX260416C78200 SELL Signal Generated
TimeFrame: 1 Minutes
Entry: 274.9
SL: 326.9
TP1: 222.9
TP2: 170.95
TP3: 118.95""}",2026-04-15T09:38:00Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 15:01 Price=24257,2026-04-15T09:33:00Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",Target 1,2026-04-15T09:31:01Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call",NEW ALERT,2026-04-15T09:31:01Z,Webhook successfully delivered
4360676343,"NSE:NIFTY, 1m","XM-TradeEdgePro-indicator (Bottom left, Tiny, Normal, 5, 1, 10, 1, 2, 3, New, 55, 200, 2, Solid, close, 200, 2, Dashed, 2, 10, 5, High and Low, 3, 3, 15, 3, 22, 7, Tiny, 5, 15, 60, 240, 1D, 70): Any alert() function call","{""chat_id"":""-1002140106262"",""text"":""First Target Hit on 1 TimeFrame""}",2026-04-15T09:31:01Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_to_Sup Time=2026-04-15 14:56 Price=24240.2,2026-04-15T09:28:02Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_to_Sup Time=2026-04-15 14:56 Price=24240.2,2026-04-15T09:28:02Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:47 Price=24257,2026-04-15T09:19:02Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:42 Price=24257.5,2026-04-15T09:14:09Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:36 Price=24257,2026-04-15T09:08:01Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:31 Price=24236.1,2026-04-15T09:03:02Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:31 Price=24236.1,2026-04-15T09:03:02Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:27 Price=24235.9,2026-04-15T08:59:02Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:27 Price=24235.9,2026-04-15T08:59:02Z,Webhook successfully delivered
4466088343,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:22 Price=24242.25,2026-04-15T08:54:02Z,Webhook successfully delivered
4384949964,"NSE:NIFTY, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:22 Price=24242.25,2026-04-15T08:54:02Z,Webhook successfully delivered
4384948999,"NSEIX:NIFTY1!, 1m","SR Breaks and Retests [ChartPrime] (20, 2, 1): Any alert() function call",Res_Hold Time=2026-04-15 14:13 Price=24264,2026-04-15T08:45:02Z,Webhook successfully delivered
